"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"33 years"	"33"	"Male"	"M"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	87	43457109	0.2
	"33 years"	"33"	"Male"	"M"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	24	43457109	0.1
	"34 years"	"34"	"Female"	"F"	"#Salmonella infections (A01-A02)"	"GR113-001"	2	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	38	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"#Tuberculosis (A16-A19)"	"GR113-004"	18	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Respiratory tuberculosis (A16)"	"GR113-005"	14	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other tuberculosis (A17-A19)"	"GR113-006"	4	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Whooping cough (A37)"	"GR113-007"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Meningococcal infection (A39)"	"GR113-009"	6	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Septicemia (A40-A41)"	"GR113-010"	461	43391366	1.1
	"34 years"	"34"	"Female"	"F"	"#Syphilis (A50-A53)"	"GR113-011"	1	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Measles (B05)"	"GR113-014"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Viral hepatitis (B15-B19)"	"GR113-015"	91	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	1302	43391366	3.0
	"34 years"	"34"	"Female"	"F"	"#Malaria (B50-B54)"	"GR113-017"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	147	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	6787	43391366	15.6
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	76	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	21	43391366	0.0
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	220	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	530	43391366	1.2
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	114	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	108	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	7	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	329	43391366	0.8
	"34 years"	"34"	"Female"	"F"	"Malignant melanoma of skin (C43)"	"GR113-028"	222	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of breast (C50)"	"GR113-029"	1806	43391366	4.2
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	765	43391366	1.8
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	116	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	314	43391366	0.7
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	69	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	22	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	442	43391366	1.0
	"34 years"	"34"	"Female"	"F"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	761	43391366	1.8
	"34 years"	"34"	"Female"	"F"	"Hodgkin disease (C81)"	"GR113-038"	96	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	209	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"Leukemia (C91-C95)"	"GR113-040"	437	43391366	1.0
	"34 years"	"34"	"Female"	"F"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	19	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	865	43391366	2.0
	"34 years"	"34"	"Female"	"F"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	187	43391366	0.4
	"34 years"	"34"	"Female"	"F"	"#Anemias (D50-D64)"	"GR113-045"	171	43391366	0.4
	"34 years"	"34"	"Female"	"F"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	867	43391366	2.0
	"34 years"	"34"	"Female"	"F"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	25	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Malnutrition (E40-E46)"	"GR113-048"	24	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	1	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Meningitis (G00,G03)"	"GR113-050"	32	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"#Parkinson disease (G20-G21)"	"GR113-051"	2	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Alzheimer disease (G30)"	"GR113-052"	2	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	4824	43391366	11.1
	"34 years"	"34"	"Female"	"F"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	3625	43391366	8.4
	"34 years"	"34"	"Female"	"F"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	63	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Hypertensive heart disease (I11)"	"GR113-056"	411	43391366	0.9
	"34 years"	"34"	"Female"	"F"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	42	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	1084	43391366	2.5
	"34 years"	"34"	"Female"	"F"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	445	43391366	1.0
	"34 years"	"34"	"Female"	"F"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	17	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	622	43391366	1.4
	"34 years"	"34"	"Female"	"F"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	219	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	403	43391366	0.9
	"34 years"	"34"	"Female"	"F"	"Other heart diseases (I26-I51)"	"GR113-064"	2025	43391366	4.7
	"34 years"	"34"	"Female"	"F"	"Acute and subacute endocarditis (I33)"	"GR113-065"	56	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	42	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Heart failure (I50)"	"GR113-067"	129	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	1798	43391366	4.1
	"34 years"	"34"	"Female"	"F"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	154	43391366	0.4
	"34 years"	"34"	"Female"	"F"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	863	43391366	2.0
	"34 years"	"34"	"Female"	"F"	"#Atherosclerosis (I70)"	"GR113-071"	11	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	171	43391366	0.4
	"34 years"	"34"	"Female"	"F"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	91	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	80	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Other disorders of circulatory system (I80-I99)"	"GR113-075"	199	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	524	43391366	1.2
	"34 years"	"34"	"Female"	"F"	"Influenza (J09-J11)"	"GR113-077"	64	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Pneumonia (J12-J18)"	"GR113-078"	460	43391366	1.1
	"34 years"	"34"	"Female"	"F"	"Other acute lower respiratory infections (J20-J22,U04)"	"GR113-079"	3	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Acute bronchitis and bronchiolitis (J20-J21)"	"GR113-080"	2	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Other and unspecified acute lower respiratory infections (J22,U04)"	"GR113-081"	1	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	366	43391366	0.8
	"34 years"	"34"	"Female"	"F"	"Bronchitis, chronic and unspecified (J40-J42)"	"GR113-083"	15	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Emphysema (J43)"	"GR113-084"	8	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Asthma (J45-J46)"	"GR113-085"	261	43391366	0.6
	"34 years"	"34"	"Female"	"F"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	82	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"#Pneumoconioses and chemical effects (J60-J66,J68,U07.0)"	"GR113-087"	1	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Pneumonitis due to solids and liquids (J69)"	"GR113-088"	78	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	339	43391366	0.8
	"34 years"	"34"	"Female"	"F"	"#Peptic ulcer (K25-K28)"	"GR113-090"	34	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"#Diseases of appendix (K35-K38)"	"GR113-091"	7	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Hernia (K40-K46)"	"GR113-092"	13	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	864	43391366	2.0
	"34 years"	"34"	"Female"	"F"	"Alcoholic liver disease (K70)"	"GR113-094"	645	43391366	1.5
	"34 years"	"34"	"Female"	"F"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	219	43391366	0.5
	"34 years"	"34"	"Female"	"F"	"#Cholelithiasis and other disorders of gallbladder (K80-K82)"	"GR113-096"	24	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	397	43391366	0.9
	"34 years"	"34"	"Female"	"F"	"Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01,N04)"	"GR113-098"	4	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Chronic glomerulonephritis, nephritis and nephropathy not specified as acute or chronic, and renal sclerosis unspecified (N02-N03,N05-N07,N26)"	"GR113-099"	20	43391366	0.0
	"34 years"	"34"	"Female"	"F"	"Renal failure (N17-N19)"	"GR113-100"	372	43391366	0.9
	"34 years"	"34"	"Female"	"F"	"Other disorders of kidney (N25,N27)"	"GR113-101"	1	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Infections of kidney (N10-N12,N13.6,N15.1)"	"GR113-102"	19	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Hyperplasia of prostate (N40)"	"GR113-103"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Inflammatory diseases of female pelvic organs (N70-N76)"	"GR113-104"	14	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Pregnancy, childbirth and the puerperium (O00-O99)"	"GR113-105"	740	43391366	1.7
	"34 years"	"34"	"Female"	"F"	"Pregnancy with abortive outcome (O00-O07)"	"GR113-106"	26	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Other complications of pregnancy, childbirth and the puerperium (O10-O99)"	"GR113-107"	714	43391366	1.6
	"34 years"	"34"	"Female"	"F"	"#Certain conditions originating in the perinatal period (P00-P96)"	"GR113-108"	6	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	417	43391366	1.0
	"34 years"	"34"	"Female"	"F"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	991	43391366	2.3
	"34 years"	"34"	"Female"	"F"	"All other diseases (Residual) "	"GR113-111"	4058	43391366	9.4
	"34 years"	"34"	"Female"	"F"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	9244	43391366	21.3
	"34 years"	"34"	"Female"	"F"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	3291	43391366	7.6
	"34 years"	"34"	"Female"	"F"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	3123	43391366	7.2
	"34 years"	"34"	"Female"	"F"	"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)"	"GR113-115"	72	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)"	"GR113-116"	96	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	5953	43391366	13.7
	"34 years"	"34"	"Female"	"F"	"Falls (W00-W19)"	"GR113-118"	151	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	28	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	144	43391366	0.3
	"34 years"	"34"	"Female"	"F"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	169	43391366	0.4
	"34 years"	"34"	"Female"	"F"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	5132	43391366	11.8
	"34 years"	"34"	"Female"	"F"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	329	43391366	0.8
	"34 years"	"34"	"Female"	"F"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	2623	43391366	6.0
	"34 years"	"34"	"Female"	"F"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	795	43391366	1.8
	"34 years"	"34"	"Female"	"F"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	1828	43391366	4.2
	"34 years"	"34"	"Female"	"F"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	1573	43391366	3.6
	"34 years"	"34"	"Female"	"F"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	881	43391366	2.0
	"34 years"	"34"	"Female"	"F"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	692	43391366	1.6
	"34 years"	"34"	"Female"	"F"	"#Legal intervention (Y35,Y89.0)"	"GR113-130"	11	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	709	43391366	1.6
	"34 years"	"34"	"Female"	"F"	"Discharge of firearms, undetermined intent (Y22-Y24)"	"GR113-132"	23	43391366	0.1
	"34 years"	"34"	"Female"	"F"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	686	43391366	1.6
	"34 years"	"34"	"Female"	"F"	"#Operations of war and their sequelae (Y36,Y89.1)"	"GR113-134"	0	43391366	Unreliable
	"34 years"	"34"	"Female"	"F"	"#Complications of medical and surgical care (Y40-Y84,Y88)"	"GR113-135"	101	43391366	0.2
	"34 years"	"34"	"Female"	"F"	"#Enterocolitis due to Clostridium difficile (A04.7)"	"GR113-136"	22	43391366	0.1
	"34 years"	"34"	"Male"	"M"	"#Salmonella infections (A01-A02)"	"GR113-001"	2	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	38	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"#Tuberculosis (A16-A19)"	"GR113-004"	27	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Respiratory tuberculosis (A16)"	"GR113-005"	17	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Other tuberculosis (A17-A19)"	"GR113-006"	10	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Whooping cough (A37)"	"GR113-007"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Scarlet fever and erysipelas (A38,A46)"	"GR113-008"	2	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Meningococcal infection (A39)"	"GR113-009"	14	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Septicemia (A40-A41)"	"GR113-010"	514	43559840	1.2
	"34 years"	"34"	"Male"	"M"	"#Syphilis (A50-A53)"	"GR113-011"	4	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Acute poliomyelitis (A80)"	"GR113-012"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Arthropod-borne viral encephalitis (A83-A84,A85.2)"	"GR113-013"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Measles (B05)"	"GR113-014"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Viral hepatitis (B15-B19)"	"GR113-015"	152	43559840	0.3
	"34 years"	"34"	"Male"	"M"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	2748	43559840	6.3
	"34 years"	"34"	"Male"	"M"	"#Malaria (B50-B54)"	"GR113-017"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)"	"GR113-018"	224	43559840	0.5
	"34 years"	"34"	"Male"	"M"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	5411	43559840	12.4
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	134	43559840	0.3
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	108	43559840	0.2
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	235	43559840	0.5
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	633	43559840	1.5
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	204	43559840	0.5
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	156	43559840	0.4
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of larynx (C32)"	"GR113-026"	11	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	340	43559840	0.8
	"34 years"	"34"	"Male"	"M"	"Malignant melanoma of skin (C43)"	"GR113-028"	299	43559840	0.7
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of breast (C50)"	"GR113-029"	6	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	0	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of prostate (C61)"	"GR113-033"	4	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	117	43559840	0.3
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasm of bladder (C67)"	"GR113-035"	42	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	743	43559840	1.7
	"34 years"	"34"	"Male"	"M"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	1199	43559840	2.8
	"34 years"	"34"	"Male"	"M"	"Hodgkin disease (C81)"	"GR113-038"	145	43559840	0.3
	"34 years"	"34"	"Male"	"M"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	380	43559840	0.9
	"34 years"	"34"	"Male"	"M"	"Leukemia (C91-C95)"	"GR113-040"	637	43559840	1.5
	"34 years"	"34"	"Male"	"M"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	36	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue (C96)"	"GR113-042"	1	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	1180	43559840	2.7
	"34 years"	"34"	"Male"	"M"	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	230	43559840	0.5
	"34 years"	"34"	"Male"	"M"	"#Anemias (D50-D64)"	"GR113-045"	184	43559840	0.4
	"34 years"	"34"	"Male"	"M"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	1360	43559840	3.1
	"34 years"	"34"	"Male"	"M"	"#Nutritional deficiencies (E40-E64)"	"GR113-047"	19	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Malnutrition (E40-E46)"	"GR113-048"	18	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Other nutritional deficiencies (E50-E64)"	"GR113-049"	1	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Meningitis (G00,G03)"	"GR113-050"	67	43559840	0.2
	"34 years"	"34"	"Male"	"M"	"#Parkinson disease (G20-G21)"	"GR113-051"	4	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"#Alzheimer disease (G30)"	"GR113-052"	2	43559840	Unreliable
	"34 years"	"34"	"Male"	"M"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	9210	43559840	21.1
	"34 years"	"34"	"Male"	"M"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	7562	43559840	17.4
	"34 years"	"34"	"Male"	"M"	"Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09)"	"GR113-055"	47	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Hypertensive heart disease (I11)"	"GR113-056"	1010	43559840	2.3
	"34 years"	"34"	"Male"	"M"	"Hypertensive heart and renal disease (I13)"	"GR113-057"	63	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	3232	43559840	7.4
	"34 years"	"34"	"Male"	"M"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	1208	43559840	2.8
	"34 years"	"34"	"Male"	"M"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	45	43559840	0.1
	"34 years"	"34"	"Male"	"M"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	1979	43559840	4.5
	"34 years"	"34"	"Male"	"M"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	810	43559840	1.9
	"34 years"	"34"	"Male"	"M"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	1169	43559840	2.7
	"34 years"	"34"	"Male"	"M"	"Other heart diseases (I26-I51)"	"GR113-064"	3210	43559840	7.4
	"34 years"	"34"	"Male"	"M"	"Acute and subacute endocarditis (I33)"	"GR113-065"	106	43559840	0.2
	"34 years"	"34"	"Male"	"M"	"Diseases of pericardium and acute myocarditis (I30-I31,I40)"	"GR113-066"	76	43559840	0.2
	"34 years"	"34"	"Male"	"M"	"Heart failure (I50)"	"GR113-067"	194	43559840	0.4
	"34 years"	"34"	"Male"	"M"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	2834	43559840	6.5
	"34 years"	"34"	"Male"	"M"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	232	43559840	0.5
	"34 years"	"34"	"Male"	"M"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	1037	43559840	2.4
	"34 years"	"34"	"Male"	"M"	"#Atherosclerosis (I70)"	"GR113-071"	21	43559840	0.0
	"34 years"	"34"	"Male"	"M"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	358	43559840	0.8
	"34 years"	"34"	"Male"	"M"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	281	43559840	0.6
	"34 years"	"34"	"Male"	"M"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	77	43559840	0.2
